veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
62915509-62915525_vt1.0;517.9819894415241;23.0;1;86;False
62915509-62915525_vt2.0;512.9882403739957;15.0;5;93;False
42430308-42437654_vt1.0;343.08750496969424;26.0;34;106;False
42430308-42437654_vt2.0;337.1984070343184;26.0;37;110;False
593915267-593915274_vt1.0;730.6420817352076;9.0;14;113;False
42435644-593915305_vt1.0;780.4089981971174;11.0;15;114;False
42435644-593915305_vt2.0;771.3246051479675;1.0;19;119;False
593915267-593915274_vt2.0;730.6119470481666;5.0;18;120;False
593915267-593915305_vt1.0;848.7783844902801;25.0;7;131;False
5481838621-5481838629_vt1.0;228.35534892725445;40.0;58;133;False
5481838621-5481838629_vt2.0;229.31894672311938;38.0;59;138;False
593915267-593915305_vt2.0;843.0035710366477;16.0;11;141;False
5458524666-5481838629_vt1.0;555.1538527355598;44.0;25;142;False
5458524666-62915525_vt1.0;532.1487320928628;44.0;26;146;False
42435644-593915274_vt1.0;805.2964479505008;30.0;8;153;False
42435644-593915202_vt1.0;883.9030592942521;45.0;1;158;False
42435644-593915274_vt2.0;807.4723727746895;26.0;12;161;False
42443804-561042200_vt1.0;774.206548935324;27.0;34;164;False
42446668-593915305_vt1.0;323.38193396354205;14.0;106;169;False
42446668-593915305_vt2.0;315.1509677289382;13.0;110;170;False
42446668-593915274_vt2.0;359.50619328867975;13.0;103;173;False
42435644-593915305_vt1.1;780.9869292362465;5.0;87;174;False
42443804-561042200_vt2.0;769.7043313020442;22.0;38;174;False
593915213-62915525_vt1.0;1019.1972769846791;48.0;14;181;False
42443804-42446977_vt1.0;684.9581764333136;30.0;70;191;False
42435644-42437654_vt1.0;563.1591644051551;9.0;118;191;False
42443804-42443950_vt1.0;787.2797232593337;61.0;27;191;False
42443804-42443950_vt2.0;787.532132679677;46.0;31;192;False
42435644-42437654_vt2.0;561.6539965439232;0.0;121;192;False
42443804-42446977_vt2.0;681.7480146879159;24.0;73;194;False
42435644-593915202_vt2.0;878.0043667203157;59.0;5;197;False
593915213-62915525_vt2.0;1018.781966550303;41.0;18;197;False
593915267-62915525_vt1.0;1229.875549456624;52.0;1;199;False
