veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
5481838621-5481838629_vt1.0;235.28709456507005;0.0;34;61;False
5481838621-5481838629_vt2.0;226.93603366356436;0.0;35;66;False
42435644-593915305_vt1.0;774.850566103285;0.0;15;93;False
42430308-42437654_vt1.0;342.50569491671286;32.0;33;113;False
42430308-42437654_vt2.0;337.6790359072014;31.0;37;117;False
42435644-593915274_vt1.0;813.067367967371;24.0;8;120;False
62915509-62915525_vt1.0;515.774621924452;67.0;1;132;False
62915509-62915525_vt2.0;510.14696783717466;63.0;5;139;False
42435644-593915202_vt1.0;879.5709438900077;45.0;1;149;False
42443804-42443950_vt1.0;791.1451473990264;29.0;28;152;False
42435644-593915305_vt2.0;769.5739127611951;37.0;18;154;False
5458524666-62915525_vt1.0;523.6002884417246;69.0;25;157;False
593915267-593915274_vt1.0;736.8122107440627;52.0;13;166;False
5458524666-62915525_vt2.0;522.5785763789721;28.0;72;168;False
593915267-593915274_vt2.0;730.3565891377689;44.0;17;173;False
42443804-42443950_vt2.0;788.8304532896627;43.0;32;175;False
42435644-593915305_vt1.1;774.1489456458111;31.0;67;180;False
593915213-593915274_vt1.0;1083.9784973039596;49.0;8;189;False
593915213-62915525_vt1.0;1020.9151905996689;65.0;15;196;False
593915213-593915274_vt2.0;1078.511171324236;46.0;12;201;False
42446668-593915305_vt1.0;322.8837384965377;39.0;125;205;False
4215909068-42443618_vt2.0;338.2899688500129;0.0;166;209;False
593915213-62915525_vt2.0;1018.5268053840634;54.0;19;210;False
42446668-593915305_vt2.0;313.677137433898;39.0;127;212;False
593915267-62915525_vt1.0;1229.5704710059924;61.0;1;212;False
593915267-62915525_vt2.0;1231.459308218633;48.0;4;216;False
42424098-42449982_vt1.0;356.0514923960769;3.0;163;217;False
593915305-62915525_vt1.0;1470.4613237346566;38.0;1;218;False
42435644-593915274_vt2.0;805.4916732966556;91.0;12;220;False
42424098-42449982_vt2.0;354.38617517219177;2.0;167;223;False
61275600-62915525_vt1.0;1124.9884056234982;83.0;1;223;False
42435644-593915274_vt1.1;814.6731079155961;65.0;64;226;False
42431563-42440966_vt1.0;614.4973987728861;0.0;156;226;False
42446668-593915274_vt1.0;366.7427937293256;52.0;120;228;False
5458524666-5481838629_vt2.0;557.1330781704849;68.0;71;230;False
5458524666-5481838629_vt1.0;557.5806476255991;114.0;24;232;False
61275600-62915525_vt2.0;1125.158314336541;78.0;5;232;False
42446668-593915274_vt2.0;356.941446024165;47.0;123;234;False
5481838621-62915525_vt2.0;835.5367978316232;87.0;31;236;False
42431563-42440966_vt2.0;612.0015911654802;0.0;160;236;False
42448390-42455963_vt1.0;522.6749257122098;73.0;89;238;False
5481838621-62915525_vt1.0;837.4703709389221;88.0;27;238;False
593915267-593915305_vt1.0;847.8785773492466;134.0;7;240;False
593915213-593915305_vt1.0;1201.25611612561;94.0;1;240;False
42443804-561042200_vt1.0;772.0136726154951;105.0;35;240;False
42443804-42443950_vt1.1;784.5525314914458;44.0;103;241;False
42435644-593915305_vt1.2;778.9906934423544;25.0;127;242;False
593915267-593915305_vt2.0;839.068751965756;119.0;10;245;False
42435644-593915202_vt2.0;879.9644406457539;111.0;5;246;False
42435644-593915202_vt1.1;886.2596083491303;78.0;61;247;False
593915213-593915305_vt2.0;1196.2291413034409;75.0;5;248;False
42435644-593915274_vt1.2;813.8075090436646;31.0;124;248;False
42446668-593915202_vt1.0;440.6879161463207;69.0;113;249;False
42443804-561042200_vt2.0;768.7543113354365;99.0;39;249;False
3569749123-4207912631_vt1.0;242.84075731096445;7.0;208;250;False
42443804-561042200_vt1.1;771.0833233649146;42.0;106;251;False
42446668-593915202_vt2.0;431.29586007458715;63.0;117;253;False
4215909068-42442961_vt1.0;521.0497931088971;34.0;152;255;False
3569749123-4207912631_vt2.0;240.21830986694007;5.0;211;256;False
42435644-593915202_vt1.2;886.7892420654554;33.0;121;257;False
4215909068-42443618_vt1.0;337.96924362890877;47.0;165;257;False
4215909068-42442961_vt2.0;517.8708960907157;34.0;155;262;False
