epoch;cumulative_distance;cumulative_waiting_time
1;0.0;0.0
2;62.41798546257917;0.0
3;181.24274026385237;1.0
4;364.89776762226677;2.0
5;622.6942663687158;3.0
6;994.9798772136722;4.0
7;1454.0153182918432;5.0
8;1979.1552908479696;7.0
9;2586.057927303673;9.0
10;3234.58552009144;11.0
11;3904.2591081222567;13.0
12;4635.6816608942445;16.0
13;5452.085477788762;22.0
14;6322.061123412769;30.0
15;7225.675526190125;39.0
16;8166.577233592603;52.0
17;9154.366616208836;69.0
18;10189.91338075017;89.0
19;11276.904341071104;110.0
20;12430.0729055569;129.0
21;13632.434085438726;152.0
22;14894.578209097588;177.0
23;16184.512411408698;206.0
24;17465.99322789509;237.0
25;18754.926827096795;275.0
26;20077.846825630328;315.0
27;21431.072170332674;362.0
28;22806.99854136945;415.0
29;24205.524463375543;473.0
30;25613.428752590353;530.0
31;27018.77467017742;590.0
32;28458.11586653033;657.0
33;29939.051352629842;727.0
34;31439.98738253381;801.0
35;32944.94646610191;877.0
36;34459.52627255272;960.0
37;36011.10312170053;1047.0
38;37578.564991482395;1140.0
39;39151.44428106008;1234.0
40;40758.483023393135;1335.0
41;42397.384479144624;1436.0
42;44052.17440466911;1543.0
43;45738.64934832884;1651.0
44;47460.414189608295;1757.0
45;49237.178615745586;1865.0
46;51051.53076805355;1977.0
47;52885.11783449123;2086.0
48;54734.13114693032;2194.0
49;56608.536452393404;2307.0
50;58497.603622352966;2422.0
51;60393.7349559838;2549.0
52;62304.683972486084;2681.0
53;64239.52078970002;2819.0
54;65647.55681162982;2963.0
55;67571.89680550256;3102.0
56;69503.97214302534;3244.0
57;71453.7843200745;3386.0
58;73420.85349300817;3525.0
59;75410.93609089755;3665.0
60;77442.69926210005;3807.0
61;79520.1355495049;3950.0
62;81641.31153850572;4092.0
63;83793.56509183226;4240.0
64;85941.0824091691;4389.0
65;88093.93559824223;4535.0
66;90239.49471722255;4681.0
67;92393.1587753284;4828.0
68;94543.63454001927;4981.0
69;96704.08696688122;5144.0
70;98843.33288252783;5316.0
71;100956.30788041401;5488.0
72;103033.29049745282;5667.0
73;105123.67381073307;5858.0
