veh_ID;distance;total_accumulated_waiting_time;dep_time;arr_time;teleported
42430308-42437654_vt1.0;339.6767491653919;0.0;35;75;False
42430308-42437654_vt2.0;336.06233096760695;0.0;38;81;False
62915509-62915525_vt1.0;514.9070029371272;37.0;1;101;False
62915509-62915525_vt2.0;506.42022731628765;32.0;5;108;False
5458524666-62915525_vt1.0;531.2004235364561;30.0;26;124;False
42435644-593915305_vt1.0;771.9218302668456;32.0;15;134;False
593915267-593915274_vt1.0;728.442121711977;25.0;14;135;False
42435644-593915305_vt2.0;770.9075718282108;19.0;19;140;False
593915267-593915274_vt2.0;729.4401553378582;20.0;18;142;False
593915213-593915305_vt1.0;1196.8154086971394;21.0;1;149;False
593915267-593915305_vt1.0;843.2633163164896;47.0;7;152;False
593915213-62915525_vt1.0;1019.9147457202079;30.0;14;159;False
5481838621-5481838629_vt1.0;225.83187547063483;62.0;66;163;False
593915267-593915305_vt2.0;838.516567186075;36.0;11;163;False
5481838621-5481838629_vt2.0;230.14347755713;60.0;67;168;False
5458524666-5481838629_vt1.0;555.5885480445686;71.0;25;172;False
42435644-593915274_vt1.0;814.1645715297474;49.0;8;178;False
5458524666-5481838629_vt2.0;557.5080564214952;43.0;56;179;False
42435644-593915202_vt1.0;887.5998720676054;72.0;1;184;False
42435644-593915274_vt2.0;809.7697572872856;45.0;12;185;False
42435644-593915202_vt2.0;882.125632199159;59.0;5;189;False
42446668-593915305_vt1.0;319.2103229373822;29.0;117;190;False
42443804-561042200_vt1.0;766.6884963974185;50.0;34;190;False
42446668-593915274_vt1.0;366.376821595284;30.0;112;191;False
42446668-593915305_vt2.0;319.28058058431424;28.0;118;192;False
42446668-593915202_vt1.0;441.3487460131345;36.0;105;193;False
42446668-593915274_vt2.0;359.23880026859115;28.0;115;198;False
4215909068-42443618_vt2.0;334.0182982301023;0.0;156;199;False
42443804-561042200_vt2.0;770.4288889502337;46.0;38;201;False
42430308-593915305_vt1.0;1392.8826024323419;38.0;8;210;False
42435644-593915305_vt1.1;773.0639582305239;35.0;87;210;False
42448390-42453087_vt1.0;963.3750366590367;26.0;82;218;False
593915213-62915525_vt2.0;1017.2611359984433;69.0;18;225;False
593915267-62915525_vt1.0;1229.3119235757235;84.0;1;227;False
